id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season
647,Harry Kane,30,2556,29,19.820082779973745,7,5.553893640637398,110,41,3,0,F M S,Tottenham,24,15.253082547336817,21.947204602882266,4.126001315191388,2016
594,Romelu Lukaku,37,3271,25,16.66546426527202,6,5.440814970061183,110,47,3,0,F S,Everton,24,15.904293252155185,21.25198128260672,3.9702027160674334,2016
498,Alexis Sánchez,38,3233,24,17.724455885589123,10,8.988114705309272,129,78,6,0,F M S,Arsenal,22,15.440943889319897,27.14119878038764,9.086725620552897,2016
619,Sergio Agüero,31,2408,20,22.672587677836418,3,4.665909027680755,139,31,4,1,F S,Manchester City,16,18.86673802882433,25.352086670696735,5.026675033383071,2016
802,Diego Costa,35,3101,20,15.43179689347744,7,4.912057062610984,111,42,10,0,F,Chelsea,20,14.670627877116203,22.00321437418461,6.565549957565963,2016
645,Dele Alli,37,3060,18,14.708574248477817,7,4.573811557143927,94,52,4,0,F M S,Tottenham,17,13.947405276820064,25.15398681163788,8.973650159314275,2016
1741,Zlatan Ibrahimovic,28,2435,17,14.637965865433216,5,5.118233298882842,115,48,7,0,F S,Manchester United,15,12.354456894099712,20.056939974427223,6.219505451619625,2016
465,Joshua King,36,2734,16,10.911748604848981,2,2.409231800585985,67,30,1,0,F M S,Bournemouth,14,8.62825040332973,12.561983089894056,3.4120459305122495,2016
701,Eden Hazard,36,3050,16,11.03284815326333,5,6.4405673667788506,77,88,3,0,F M,Chelsea,14,8.749343048781157,20.609466394409537,9.10812764801085,2016
606,Christian Benteke,36,3153,15,17.355868473649025,2,2.0585755221545696,105,32,10,0,F,Crystal Palace,13,14.311190653592348,13.202918304130435,4.11089089140296,2016
735,Jermain Defoe,37,3324,15,13.647576574236155,2,1.3696143869310617,99,20,1,0,F,Sunderland,10,9.841728202998638,11.509979609400034,2.290653853677213,2016
1728,Fernando Llorente,33,2462,15,8.028607591986656,1,2.090565759688616,51,26,2,0,F S,Swansea,15,8.028607591986656,8.600849602371454,2.9600224662572145,2016
453,Son Heung-Min,34,2069,14,7.765331827104092,6,4.696415961720049,80,43,2,0,F M S,Tottenham,14,7.765331827104092,14.948597144335508,4.281623422168195,2016
488,Philippe Coutinho,31,2265,13,8.867860339581966,7,6.25872659496963,106,65,2,0,F M S,Liverpool,13,8.867860339581966,18.205975122749805,8.191240821033716,2016
755,Jamie Vardy,35,2822,13,9.94716601073742,5,4.675951764918864,53,31,2,1,F S,Leicester,13,9.94716601073742,14.123065508902073,2.7869280222803354,2016
838,Sadio Mané,27,2257,13,9.480924274772406,5,4.445209952071309,57,43,4,0,F S,Liverpool,13,9.480924274772406,20.189119152724743,9.525849785655737,2016
502,Olivier Giroud,29,1170,12,6.999083910137415,3,2.0118066053837538,39,17,2,0,F S,Arsenal,12,6.999083910137415,9.583846874535084,1.8246379978954792,2016
482,Roberto Firmino,35,3077,11,10.364667488262057,7,7.852917684242129,100,78,5,0,F S,Liverpool,11,10.364667488262057,24.931322157382965,11.649156866595149,2016
503,Theo Walcott,28,1944,10,9.901477228850126,2,2.5256067672744393,62,13,1,0,F M S,Arsenal,10,9.140307921916246,11.123216319829226,2.42395200766623,2016
574,Troy Deeney,37,2940,10,8.593502411618829,4,3.109722388908267,42,40,7,0,F S,Watford,7,6.309996869415045,9.318240785971284,2.0820989906787872,2016
1661,Sam Vokes,37,2030,10,8.347450690343976,3,1.5290202079340816,57,15,0,0,F S,Burnley,8,6.825112214311957,7.930247075855732,1.693968071602285,2016
531,Michail Antonio,29,2451,9,9.790301950648427,3,3.3898478094488382,77,31,4,1,D F M,West Ham,9,9.790301950648427,13.229303304105997,3.0400034934282303,2016
687,Pedro,35,2178,9,5.991286236792803,9,5.526838485151529,59,42,6,0,F M S,Chelsea,9,5.991286236792803,16.25231236591935,6.784710191190243,2016
714,Gylfi Sigurdsson,38,3329,9,8.569288490340114,13,8.268965737894177,116,79,2,0,F M S,Swansea,6,6.28578289039433,10.746341725811362,3.8264196943491697,2016
1660,Andre Gray,32,2279,9,7.564629638567567,3,1.471580351702869,47,19,2,0,F S,Burnley,7,6.0422916654497385,7.8198596918955445,2.1058946326375008,2016
1715,Álvaro Negredo,36,2891,9,8.803118763957173,4,4.10040766838938,69,26,5,0,F S,Middlesbrough,7,7.28078123787418,11.963996449951082,2.7907413113862276,2016
486,Adam Lallana,31,2371,8,4.506964456290007,7,4.112386392429471,50,42,3,0,F M S,Liverpool,8,4.506964456290007,16.62996675260365,10.077396271750331,2016
499,Mesut Özil,33,2856,8,5.606561478227377,9,8.070462390780449,40,100,2,0,M S,Arsenal,8,5.606561478227377,22.84276197478175,14.728370394557714,2016
535,Manuel Lanzini,35,2727,8,6.071731213480234,2,4.006757194176316,69,57,9,0,F M S,West Ham,6,4.5493931118398905,13.376216730102897,8.287111967802048,2016
646,Christian Eriksen,36,3181,8,8.864699277095497,15,11.74070107191801,133,112,0,0,M,Tottenham,8,8.864699277095497,22.943155393004417,10.891217955388129,2016
700,Willian,34,1509,8,3.7568806800991297,2,3.064136871136725,44,51,3,0,F M S,Chelsea,8,3.7568806800991297,9.140880485996604,4.566343002021313,2016
813,Salomón Rondón,38,2902,8,9.35797328967601,2,2.8521678745746613,93,26,2,0,F S,West Bromwich Albion,8,9.35797328967601,13.401619354262948,2.5777701027691364,2016
463,Junior Stanislas,21,1489,7,4.84797247685492,5,3.8548494363203645,43,22,1,0,M S,Bournemouth,5,3.3256304506212473,7.382436146959662,4.268493261188269,2016
484,Divock Origi,34,1450,7,5.523562506772578,3,1.6023159064352512,37,16,0,0,F S,Liverpool,7,5.523562506772578,7.650573030114174,1.9656791910529137,2016
489,James Milner,36,3170,7,7.355010665953159,3,3.951043674722314,36,56,5,0,D M,Liverpool,0,1.2656571343541145,14.358936052769423,12.455641906708479,2016
522,Wilfried Zaha,35,3033,7,5.570255206897855,9,4.54127549380064,49,38,8,0,F M S,Crystal Palace,7,5.570255206897855,12.498163945041597,3.0121044302359223,2016
537,Andy Carroll,18,1318,7,4.521655203774571,1,1.7217979226261377,39,14,3,0,F S,West Ham,7,4.521655203774571,6.552709426730871,3.009639358147979,2016
572,Etienne Capoue,37,3231,7,3.7173120137304068,1,1.509296577423811,50,37,5,0,M,Watford,7,3.7173120137304068,6.283083532936871,2.6800303906202316,2016
618,Raheem Sterling,33,2532,7,8.106005489826202,6,5.496264124289155,64,46,7,0,F M S,Manchester City,7,8.106005489826202,18.46257404051721,6.7552114222198725,2016
790,Nathan Redmond,37,2917,7,4.817707560956478,1,5.891832923516631,83,57,2,1,F M S,Southampton,7,4.817707560956478,15.177735261619091,6.430120557546616,2016
